beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7
1.31217,1.80507,-0.327903,-0.0363535,0.16062,-0.177664,0.0729278
1.46356,1.74665,-0.120756,-0.0499395,0.120148,-0.172247,0.0612906
1.03468,1.8213,-0.327161,0.0154077,0.124674,-0.184226,0.0901554
0.975603,1.80625,-0.380918,0.0187737,0.133307,-0.179957,0.0941962
1.8478,1.62215,-0.318677,-0.128076,0.16131,-0.1487,0.069039
1.61861,1.581,-0.331445,-0.0733588,0.121305,-0.149195,0.0890994
1.14545,1.87647,-0.139491,-0.00323643,0.126175,-0.193546,0.0591426
1.11956,1.89473,-0.144298,-0.00588339,0.129069,-0.193898,0.057741
1.08784,1.90659,-0.155381,0.0135134,0.125495,-0.20165,0.0579883
1.73121,1.61439,-0.405395,-0.105194,0.170512,-0.149677,0.0759618
1.99666,1.50831,-0.295633,-0.144249,0.136702,-0.133958,0.0756615
2.03004,1.51244,-0.284725,-0.143053,0.136952,-0.135535,0.0768196
2.09858,1.47327,-0.306186,-0.141634,0.126816,-0.133403,0.0846796
0.9116,1.91231,-0.237455,0.0281314,0.124184,-0.19551,0.0779596
1.31315,1.82244,-0.0466485,-0.0215947,0.10963,-0.187356,0.0548221
1.21688,1.78261,-0.325941,-0.013353,0.124365,-0.180563,0.0860364
1.10169,1.76322,-0.362239,-0.0014271,0.129565,-0.173218,0.0922205
1.37829,1.70345,-0.467032,-0.0544264,0.161309,-0.162651,0.0881883
1.37694,1.70716,-0.393323,-0.051114,0.144723,-0.161541,0.0919357
1.63825,1.68416,-0.203835,-0.0728422,0.117871,-0.166473,0.0705502
1.42459,1.80201,-0.226993,-0.0432902,0.147857,-0.18295,0.0603243
1.23799,1.86384,-0.150883,-0.0228661,0.121723,-0.189245,0.0630424
0.977579,1.85273,-0.183997,0.0187305,0.114781,-0.188326,0.071157
1.62104,1.63638,-0.340618,-0.0782669,0.152645,-0.156505,0.0763233
1.08455,1.8566,-0.145966,0.019392,0.10166,-0.19461,0.0709609
1.34898,1.76853,-0.243659,-0.0505162,0.134316,-0.170874,0.0702918
1.35518,1.8405,-0.21069,-0.0502651,0.146843,-0.181489,0.0603962
1.18138,1.80945,-0.184559,0.00163209,0.101014,-0.186441,0.0786037
0.811306,1.96849,-0.313204,0.0394308,0.143584,-0.203944,0.0775463
0.91376,1.91522,-0.213543,0.0293217,0.125401,-0.197523,0.0715543
1.12369,1.87089,-0.0878092,0.00164976,0.117741,-0.192167,0.0569237
1.3349,1.72868,-0.276143,-0.03896,0.123764,-0.169533,0.0784296
1.54346,1.71686,-0.270642,-0.0710464,0.140306,-0.167043,0.0702165
1.38485,1.76531,-0.205145,-0.0426841,0.115584,-0.175994,0.0716484
1.09677,1.76919,-0.331061,0.0089038,0.126983,-0.179585,0.0873175
1.38761,1.72171,-0.196324,-0.042924,0.122035,-0.169323,0.0699946
1.37138,1.77783,-0.245832,-0.0411644,0.141829,-0.176014,0.0686398
0.996163,1.89614,-0.148666,0.0206387,0.105535,-0.196058,0.0705489
1.37516,1.74198,-0.227734,-0.0448773,0.133874,-0.169884,0.070084
0.843236,1.99003,-0.184277,0.0398043,0.135103,-0.21068,0.0591984
1.21717,1.76698,-0.285349,-0.0190376,0.117195,-0.174289,0.085779
1.09342,1.82635,-0.272575,-0.010607,0.137151,-0.180449,0.0736468
1.44091,1.74193,-0.211931,-0.0452689,0.108991,-0.173348,0.0775453
1.33146,1.71832,-0.217888,-0.0341983,0.124217,-0.168148,0.0718764
1.47436,1.67121,-0.300923,-0.0604094,0.142806,-0.159192,0.0768657
1.32705,1.73569,-0.308364,-0.0329992,0.146267,-0.171241,0.0741613
1.11286,1.86164,-0.172059,-0.00369393,0.118335,-0.188172,0.0681728
