gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7
3.03477,-0.595054,-0.220165,-0.224729,0.0233915,0.0681824,0.022075
2.81249,-0.493657,-0.114326,-0.190128,0.0176456,0.0518994,0.00970942
2.96552,-0.545745,-0.137706,-0.220939,0.0182479,0.0632265,0.0138022
2.99749,-0.580321,-0.132347,-0.214781,0.0128015,0.0645086,0.0150736
2.74374,-0.423859,-0.0760467,-0.181073,0.0203878,0.0417141,0.0017854
2.98593,-0.62697,-0.232169,-0.221716,0.0119269,0.0737968,0.0286419
3.21297,-0.612624,-0.13704,-0.256034,0.0172274,0.0719561,0.0120304
3.21259,-0.639003,-0.131989,-0.245764,0.0207131,0.0722112,0.0101509
3.20057,-0.592369,-0.0634036,-0.254668,0.0182546,0.0685607,0.000438407
2.91709,-0.520152,-0.155646,-0.20356,0.021311,0.0549964,0.0126472
2.80136,-0.513114,-0.144277,-0.19671,0.0168779,0.0585965,0.0156542
2.82974,-0.513469,-0.153775,-0.195732,0.0163358,0.0561911,0.0146981
2.86116,-0.545804,-0.154979,-0.191282,-0.000241223,0.0591593,0.0250181
3.32211,-0.699556,-0.221018,-0.272028,0.0328085,0.0851107,0.0183616
3.09779,-0.650598,-0.247519,-0.237386,0.0227851,0.0773155,0.0268537
3.30856,-0.660582,-0.113049,-0.267315,0.014093,0.0781206,0.00953714
3.3958,-0.677741,-0.0457459,-0.272372,0.0022756,0.0784187,0.00700716
3.27238,-0.620992,-0.111483,-0.262371,0.0184109,0.0727155,0.00804399
2.96011,-0.510259,-0.0081566,-0.223086,0.0115421,0.057443,-0.00340327
3.23703,-0.633377,-0.085716,-0.252151,0.00266532,0.0705444,0.00998777
2.72578,-0.509893,-0.16682,-0.180789,0.0110197,0.0547952,0.0195034
2.73375,-0.519518,-0.1677,-0.177519,0.00393532,0.0546101,0.0226114
2.85689,-0.460011,-0.134996,-0.20686,0.0353653,0.0514888,0.00454229
3.06454,-0.602504,-0.121042,-0.220532,0.000374564,0.066155,0.0173478
3.05225,-0.640874,-0.224645,-0.227698,0.0200092,0.0745334,0.0245365
3.06608,-0.528151,-0.119389,-0.23504,0.0276061,0.0599153,0.00640643
2.99884,-0.542174,-0.14478,-0.223815,0.0223461,0.061941,0.0119903
3.29231,-0.718333,-0.262685,-0.276585,0.025125,0.0914957,0.0288983
3.54977,-0.691911,-0.0749407,-0.318343,0.039456,0.0886872,-0.00516432
3.46256,-0.675145,-0.081364,-0.304251,0.0252089,0.0856317,0.00280238
3.18296,-0.707376,-0.271886,-0.248972,0.00646562,0.086488,0.0399723
3.09161,-0.540233,-0.124234,-0.248824,0.0431133,0.0654455,0.000191673
3.13904,-0.605455,-0.147464,-0.25056,0.026413,0.0729205,0.0106489
3.03685,-0.575041,-0.13256,-0.223725,0.019476,0.0636028,0.0100568
2.89397,-0.515866,-0.176521,-0.215918,0.0242559,0.0604782,0.0160202
2.95466,-0.552015,-0.1552,-0.21312,0.0145237,0.061475,0.0167926
2.94516,-0.548763,-0.164366,-0.220918,0.0278844,0.064516,0.0128983
3.10689,-0.610886,-0.128994,-0.238801,0.0145195,0.071147,0.0129663
3.17972,-0.67876,-0.275013,-0.253382,0.0347631,0.082565,0.02561
3.18402,-0.595662,-0.10897,-0.248437,0.0201928,0.0692912,0.00867465
3.02848,-0.592787,-0.220786,-0.234646,0.027296,0.0716898,0.021875
3.24917,-0.633116,-0.180214,-0.261972,0.023692,0.0763632,0.0182652
3.17486,-0.625283,-0.158673,-0.2585,0.0216452,0.0767569,0.0140436
3.30327,-0.638925,-0.110719,-0.259215,0.0201028,0.0726157,0.00680187
3.16491,-0.562742,-0.100004,-0.251796,0.0164245,0.0662601,0.00775439
3.04124,-0.584858,-0.133883,-0.222642,0.000264669,0.0656999,0.0202791
2.96267,-0.500098,-0.0525851,-0.219454,0.0217398,0.0554645,-0.00119384
2.97675,-0.579243,-0.172789,-0.215467,0.028,0.0657105,0.0143133
3.12087,-0.638838,-0.196394,-0.230351,0.0115553,0.0706748,0.0214929
2.90662,-0.527044,-0.166468,-0.208855,0.0288874,0.057475,0.00928434
2.86142,-0.512773,-0.130366,-0.214366,0.0239454,0.0619798,0.0111038
2.92061,-0.565599,-0.192575,-0.207633,0.0144482,0.0625407,0.0205501
2.81857,-0.541941,-0.177471,-0.198628,0.0264236,0.061325,0.0140054
2.87355,-0.522484,-0.186673,-0.210978,0.0254951,0.0606028,0.0165022
3.05318,-0.572272,-0.117603,-0.240209,0.0339761,0.0696219,0.00383209
2.97504,-0.51244,-0.0658049,-0.212364,0.0133091,0.055518,0.00374511
2.97323,-0.518875,-0.122583,-0.228412,0.031802,0.0599662,0.00479386
3.17467,-0.578219,-0.138554,-0.257193,0.0340903,0.069842,0.00602758
3.00114,-0.578898,-0.151612,-0.216333,0.00716867,0.0637679,0.0183417
3.06553,-0.603289,-0.151369,-0.220352,0.00774243,0.0651879,0.018817
3.05376,-0.598717,-0.148547,-0.22156,0.00771438,0.0659334,0.0193614
3.28142,-0.659559,-0.215431,-0.262023,0.0435463,0.0780561,0.0121817
3.16124,-0.617425,-0.14307,-0.248619,0.00500779,0.0737756,0.0196765
3.10363,-0.631062,-0.146511,-0.229487,0.0126321,0.0704104,0.0148774
3.07323,-0.570684,-0.127177,-0.228453,0.0245348,0.0624196,0.00579622
2.86174,-0.498373,-0.125091,-0.208682,0.0211433,0.0570469,0.00955494
3.29327,-0.692082,-0.263032,-0.277301,0.0491654,0.0871874,0.0170975
3.13542,-0.590297,-0.0556634,-0.235587,0.00784039,0.0657365,0.00546797
2.82725,-0.473547,-0.0785994,-0.197998,0.0224012,0.0512025,0.00201049
3.00805,-0.562723,-0.116607,-0.228899,0.0193406,0.0657422,0.00803542
3.11918,-0.551308,-0.115795,-0.236235,0.0246368,0.0610166,0.00520768
