Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
-7838.64,0.0522174,2.71927,2.5649,-7843.54,-7838.27,-7834.83,2785.76,3839.09,1.00213
2.93382,0.0136807,0.64481,0.636599,1.86368,2.92699,4.00463,2225.45,2912.16,1.00087
0.883977,0.00305461,0.154432,0.153063,0.631321,0.881046,1.13988,2566.1,3070.57,1.0012
-0.231219,0.00161681,0.0808882,0.080652,-0.366197,-0.231368,-0.0977592,2506.86,3355.5,1.0018
-0.533552,0.00160914,0.0797495,0.0794659,-0.665667,-0.532276,-0.403416,2459.97,3097.95,1.00045
0.127105,0.000282908,0.0164623,0.0160247,0.0993226,0.127179,0.153954,3384.9,4131.19,1.00101
-0.174789,0.000267592,0.014679,0.0147904,-0.198953,-0.174816,-0.150743,3015.19,3574.51,1.00161
0.0721453,0.000175873,0.00955321,0.0094469,0.0565088,0.0721952,0.087784,2960.07,3305.94,1.00042
4.1085,0.010529,0.538992,0.540104,3.21982,4.11108,4.99468,2633.84,3644.31,1.00111
-0.70756,0.00224488,0.123848,0.123878,-0.913023,-0.70649,-0.498021,3076.08,3963.47,1.0013
-0.157798,0.00119741,0.0651455,0.0655257,-0.265939,-0.158002,-0.0499954,3002.0,4194.11,1.001
-0.327358,0.00126263,0.0677232,0.0682448,-0.439612,-0.327672,-0.215901,2895.12,3860.3,1.00057
0.0193317,0.000176937,0.0121862,0.0123612,-0.000555497,0.0195365,0.0390563,4782.13,4712.8,1.00094
0.0655216,0.000208697,0.0119307,0.0117799,0.0456029,0.0656711,0.085051,3283.1,4511.88,1.00094
0.0148296,0.000134268,0.00803912,0.00808098,0.00157138,0.0147525,0.0279626,3603.59,4207.06,1.00043
0.977252,0.000243584,0.019531,0.0194473,0.945365,0.977099,1.00945,6440.84,6741.23,0.999978
0.977252,0.000243584,0.019531,0.0194473,0.945365,0.977099,1.00945,6440.84,6741.23,0.999978
0.977252,0.000243584,0.019531,0.0194473,0.945365,0.977099,1.00945,6440.84,6741.23,0.999978
0.985997,0.000224531,0.0180924,0.018067,0.956411,0.986014,1.01574,6500.71,6838.09,1.00002
1.02054,0.000141024,0.0120003,0.0119646,1.00105,1.02039,1.04073,7325.66,6914.72,1.00012
1.02054,0.000141024,0.0120003,0.0119646,1.00105,1.02039,1.04073,7325.66,6914.72,1.00012
1.02153,0.000133442,0.0118034,0.0117718,1.00235,1.02126,1.0416,7878.37,6935.66,1.0002
1.01483,0.000162454,0.0136274,0.0133805,0.992589,1.01482,1.03743,7073.31,7524.96,1.00007
0.966561,0.000275919,0.0217686,0.0217327,0.931084,0.966216,1.00246,6233.86,6616.94,0.999926
0.984739,0.0002155,0.0177104,0.0176867,0.95588,0.984684,1.01388,6767.11,6840.56,1.00023
1.00387,0.000158351,0.0138437,0.0136725,0.981516,1.00382,1.02711,7672.5,7173.06,1.0003
1.00387,0.000158351,0.0138437,0.0136725,0.981516,1.00382,1.02711,7672.5,7173.06,1.0003
1.00593,0.00017671,0.0146849,0.0145072,0.982057,1.00596,1.03017,6941.02,7344.89,1.00014
1.00593,0.00017671,0.0146849,0.0145072,0.982057,1.00596,1.03017,6941.02,7344.89,1.00014
1.02209,0.000133131,0.0117563,0.0117125,1.00297,1.02182,1.04209,7849.44,6910.73,1.00012
1.02649,0.000131837,0.0114511,0.0112826,1.00787,1.02632,1.04593,7611.63,7099.4,1.0001
0.994763,0.000255925,0.0194882,0.019127,0.962609,0.994877,1.02661,5805.93,6563.21,0.999879
0.978227,0.000293183,0.0220898,0.0218921,0.941777,0.978156,1.01449,5685.37,6621.2,0.999868
0.978227,0.000293183,0.0220898,0.0218921,0.941777,0.978156,1.01449,5685.37,6621.2,0.999868
0.959143,0.000357446,0.0263445,0.0262279,0.915921,0.958806,1.00215,5433.36,6344.2,0.999928
0.959143,0.000357446,0.0263445,0.0262279,0.915921,0.958806,1.00215,5433.36,6344.2,0.999928
0.967809,0.000288561,0.0223178,0.0221664,0.931523,0.967577,1.0043,5992.02,6424.28,0.999857
0.980907,0.000246625,0.0194837,0.0193546,0.948995,0.980921,1.013,6249.19,6544.82,0.999864
1.00865,0.000170048,0.0142335,0.0140032,0.985434,1.00869,1.03217,7036.88,7206.18,1.00007
1.0146,0.000156316,0.0132955,0.0131432,0.99289,1.01458,1.0369,7277.01,7175.7,1.00011
1.0146,0.000156316,0.0132955,0.0131432,0.99289,1.01458,1.0369,7277.01,7175.7,1.00011
1.01215,0.000169426,0.014086,0.0138104,0.989169,1.01219,1.0353,6938.77,7520.77,1.00001
1.01215,0.000169426,0.014086,0.0138104,0.989169,1.01219,1.0353,6938.77,7520.77,1.00001
0.992971,0.000250433,0.0192188,0.0188898,0.961494,0.993049,1.02452,5903.54,6661.92,0.99986
0.976244,0.000290137,0.0219973,0.0217883,0.940025,0.976092,1.01239,5757.14,6591.21,0.999843
0.976244,0.000290137,0.0219973,0.0217883,0.940025,0.976092,1.01239,5757.14,6591.21,0.999843
0.971421,0.000283479,0.0218646,0.0218365,0.935657,0.971238,1.00719,5958.4,6579.71,0.999836
0.971421,0.000283479,0.0218646,0.0218365,0.935657,0.971238,1.00719,5958.4,6579.71,0.999836
0.96282,0.000310968,0.0237303,0.0235682,0.924128,0.962553,1.00155,5832.41,6451.55,0.999936
0.967293,0.000295235,0.0226847,0.0225207,0.930308,0.967099,1.00427,5912.6,6591.62,0.999891
0.974439,0.000278379,0.0214498,0.0212412,0.939402,0.974323,1.00966,5949.04,6724.55,0.999822
0.999659,0.000185302,0.0154233,0.0152041,0.974642,0.999655,1.02491,6956.29,7227.25,1.00012
1.01961,0.000148477,0.012727,0.0125947,0.998902,1.0196,1.04096,7363.94,7676.9,1.00005
0.984129,0.00024163,0.0190676,0.0189402,0.952936,0.984166,1.01538,6238.99,6586.12,0.99987
0.977485,0.000239633,0.0193236,0.0192679,0.946081,0.977421,1.00945,6513.2,6837.05,0.999982
0.966165,0.000295596,0.0227651,0.0225733,0.929094,0.966,1.00332,5940.31,6452.36,0.999906
0.985523,0.000214765,0.0176286,0.0176081,0.956779,0.985448,1.01449,6752.83,6740.07,1.00024
0.999162,0.000184107,0.0153808,0.0151774,0.974253,0.999167,1.02436,7006.99,7343.01,1.00012
0.999162,0.000184107,0.0153808,0.0151774,0.974253,0.999167,1.02436,7006.99,7343.01,1.00012
1.01656,0.000137767,0.0122532,0.0122092,0.996517,1.01635,1.03744,7955.75,7474.81,1.00034
1.02586,0.00014121,0.0117031,0.0116606,1.00692,1.02574,1.04533,6941.92,6801.07,1.00016
1.02989,0.000143084,0.0115714,0.0115495,1.01115,1.02975,1.04906,6615.03,6997.03,1.00025
0.997145,0.000219563,0.017352,0.017001,0.96885,0.997189,1.02555,6265.31,7034.96,1.00003
0.979138,0.000273802,0.0209963,0.0206934,0.944673,0.979079,1.01353,5891.23,6721.6,0.999851
0.970316,0.000272581,0.0213738,0.0212953,0.935447,0.970102,1.00567,6160.24,6497.22,0.999923
0.97766,0.000247778,0.0197156,0.0196682,0.945375,0.977545,1.01024,6341.27,6799.59,0.999883
0.993259,0.000199012,0.0164195,0.0162878,0.966657,0.993181,1.02032,6822.04,7197.22,1.00017
1.013,0.000141423,0.0125684,0.0125724,0.99258,1.01272,1.03447,7936.08,7363.44,1.00047
1.01835,0.0001369,0.0121715,0.0121351,0.998565,1.01812,1.03909,7950.91,7162.34,1.00031
1.01835,0.0001369,0.0121715,0.0121351,0.998565,1.01812,1.03909,7950.91,7162.34,1.00031
1.02446,0.000131589,0.0115766,0.0114976,1.00562,1.02424,1.04405,7795.27,7296.56,1.00005
1.02446,0.000131589,0.0115766,0.0114976,1.00562,1.02424,1.04405,7795.27,7296.56,1.00005
1.01197,0.000172275,0.0142459,0.0140106,0.988781,1.01203,1.0355,6863.21,7484.28,1.00001
1.01197,0.000172275,0.0142459,0.0140106,0.988781,1.01203,1.0355,6863.21,7484.28,1.00001
0.962197,0.00033596,0.0250601,0.0249025,0.921052,0.961867,1.00336,5569.14,6506.77,0.999902
0.967875,0.000270139,0.0214049,0.0213279,0.933137,0.967521,1.00315,6288.36,6616.45,0.999964
0.989395,0.000189001,0.0161686,0.0158875,0.963187,0.989265,1.01612,7350.34,7173.4,1.00035
0.997141,0.000175396,0.0150246,0.0147734,0.972853,0.997056,1.02192,7376.64,7095.52,1.00021
0.997141,0.000175396,0.0150246,0.0147734,0.972853,0.997056,1.02192,7376.64,7095.52,1.00021
1.01539,0.000142084,0.0123767,0.0123575,0.995048,1.0152,1.03643,7659.46,7237.9,1.00044
1.02461,0.000138505,0.0116971,0.0116681,1.0057,1.02444,1.04424,7206.38,6939.42,1.00012
1.02817,0.000131443,0.0113537,0.0112085,1.00969,1.02797,1.04736,7535.42,7064.03,1.00013
1.02817,0.000131443,0.0113537,0.0112085,1.00969,1.02797,1.04736,7535.42,7064.03,1.00013
1.02659,0.000131197,0.0114367,0.0112826,1.00802,1.0264,1.04601,7669.48,7166.66,1.00009
1.02043,0.000138846,0.0122245,0.0121128,1.00063,1.02033,1.04119,7790.02,7612.22,1.00008
0.985401,0.000221179,0.0179545,0.0179276,0.956181,0.985405,1.01487,6600.3,6810.29,1.00011
1.00414,0.000164818,0.0141483,0.0139513,0.98127,1.00408,1.0277,7415.49,7111.69,1.00021
1.00978,0.000158551,0.0135832,0.0134398,0.987793,1.00975,1.03254,7387.27,7062.92,1.00025
1.01433,0.000153692,0.0131585,0.0129727,0.992917,1.01429,1.03651,7374.53,7056.71,1.00016
1.02953,0.000127919,0.0112453,0.0111195,1.01133,1.02936,1.04863,7793.39,7159.98,1.00011
1.01806,0.000155056,0.0131278,0.0129802,0.996668,1.01803,1.03987,7206.96,7616.01,1.0
0.961898,0.000321515,0.0243195,0.0240544,0.922153,0.961594,1.00172,5729.33,6536.92,0.999945
0.975066,0.00028177,0.0215988,0.0213613,0.939721,0.974932,1.01031,5884.98,6715.05,0.999839
0.991832,0.000219938,0.0175772,0.017425,0.96319,0.991899,1.02067,6404.61,7100.65,1.00002
1.02041,0.000134688,0.0119793,0.0119349,1.00098,1.02022,1.04074,7966.08,7142.84,1.00027
1.03126,0.000138213,0.0113767,0.0112826,1.01278,1.03111,1.05023,6862.82,7265.22,1.00025
1.03525,0.000142621,0.0113967,0.0113271,1.01663,1.03505,1.05424,6439.68,7046.31,1.00035
0.997746,0.000241733,0.0185921,0.0183316,0.967066,0.997815,1.02821,5927.99,6736.81,0.999865
